206,Lindiwe,0,1,1
207,Lumusi,0,1,1
208,Lungile,0,1,1
209,Madalitso,1,1,1
210,Makena,1,1,1
211,Mamadou,1,0,1
212,Manyara,0,1,1
213,Marjani,0,1,1
214,Masamba,1,0,1
215,Masego,0,1,1
216,Masozi,1,1,1
217,Mavuto,1,1,1
218,Mayamiko,1,1,1
219,Mayeso,1,1,1
220,Mbali,0,1,1
221,Mchumba,0,1,1
222,Meklit,0,1,1
223,Melisizwe,1,0,1
224,Mirembe,0,1,1
225,Mojisola,0,1,1
226,Monifa,0,1,1
227,Mosi,1,0,1
228,Mphatso,1,1,1
229,Mtendere,1,1,1
230,Mudiwa,1,1,1
231,Munashe,1,1,1
232,Mwanajuma,0,1,1
233,Mwenye,1,0,1
234,Nakato,0,1,1
235,Ndidi,1,1,1
236,Neo,1,1,1
237,Ngozi,1,1,1
238,Nia,0,1,1
239,Nkechi,0,1,1
240,Nkechinyere,0,1,1
241,Nkemdilim,1,1,1
242,Nkiru,0,1,1
243,Nkiruka,0,1,1
244,Nkosana,1,0,1
245,Nkosazana,0,1,1
246,Nkruma,1,1,1
247,Nnamdi,1,0,1
248,Nneka,0,1,1
249,Nnenna,0,1,1
250,Nnenne,0,1,1
251,Nomusa,0,1,1
252,Nontle,0,1,1
253,Nosipho,0,1,1
254,Nosizwe,0,1,1
255,Nsia,1,1,1
256,Nsonowa,1,1,1
257,Nthanda,1,1,1
258,Ntombi,0,1,1
259,Nuru,0,1,1
260,Nwanneka,0,1,1
261,Nyah,0,1,1
262,Nyarai,0,1,1
263,Obi,1,0,1
264,Ochieng,1,0,1
265,Odhiambo,1,0,1
266,Ogechi,0,1,1
267,Ogechukwukama,0,1,1
268,Oghenekaro,1,1,1
269,Oghenekevwe,1,1,1
270,Oghenero,1,1,1
271,Okoro,1,0,1
272,Olabode,1,0,1
273,Olamide,0,1,1
274,Olamilekan,1,0,1
275,Olanrewaju,1,0,1
276,Olayinka,0,1,1
277,Olubunmi,0,1,1
278,Oluchi,1,1,1
279,Olufemi,1,0,1
280,Olufunke,1,1,1
281,Olufunmilayo,1,1,1
282,Olufunmilola,1,1,1
283,Olujimi,1,0,1
284,Olukayode,1,0,1
285,Olumide,1,0,1
286,Oluwafemi,1,0,1
287,Oluwafunmilayo,1,1,1
288,Oluwakanyinsola,1,1,1
289,Oluwasegun,1,1,1
290,Oluwaseun,1,1,1
291,Oluwaseyi,1,1,1
292,Oluwatoyin,1,1,1
293,Oluwayemisi,1,1,1
294,Omobolanle,1,1,1
295,Omolara,0,1,1
296,Oni,0,1,1
297,Onyeka,0,1,1
298,Onyekachi,1,1,1
299,Onyekachukwu,1,1,1
300,Opeyemi,1,1,1
301,Otieno,1,0,1
302,Oyibo,1,1,1
303,Paki,1,0,1
304,Pemphero,1,1,1
305,Pilirani,1,1,1
306,Refilwe,1,1,1
307,Retha,0,1,1
308,Rudo,1,1,1
309,Rufaro,0,1,1
310,Rumbidzai,0,1,1
311,Rutendo,1,1,1
312,Sanaa,0,1,1
313,Sauda,0,1,1
314,Seble,0,1,1
315,Sefu,1,0,1
316,Sekai,0,1,1
317,Sethunya,0,1,1
318,Sibonakaliso,0,1,1
319,Simba,1,0,1
320,Simisola,0,1,1
321,Sipho,1,0,1
322,Sithembile,1,1,1
323,Sizwe,1,0,1
324,Ssanyu,0,1,1
325,Subira,0,1,1
326,Tadala,1,1,1
327,Tafadzwa,1,1,1
328,Tafari,1,0,1
329,Tajeddigt,0,1,1
330,Takondwa,1,1,1
331,Tamandani,1,1,1
332,Tamrat,1,0,1
333,Taonga,1,1,1
334,Tapiwa,0,1,1
335,Tariro,0,1,1
336,Tatenda,1,1,1
337,Tau,1,0,1
